,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
212,70,2,XM5,-3418.919517171891,3188.0,53323.82341089936,"(662, 617, 180)","(662.0, 617.0, 180)"
213,71,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
214,71,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
215,71,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
216,72,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 338.0, 180)"
217,72,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
218,72,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(662, 617, 180)","(662.0, 617.0, 180)"
219,73,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
220,73,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
221,73,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
222,74,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
223,74,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
224,74,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
225,75,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
226,75,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
227,75,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
228,76,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
229,76,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
230,76,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
231,77,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
232,77,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
233,77,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
234,78,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(647.5, 896.0, 180)"
235,78,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
236,78,2,XM5,-3418.919517171891,3188.0,53323.82341089936,"(662, 617, 180)","(662.0, 617.0, 180)"
237,79,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
238,79,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
239,79,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
240,80,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 338.0, 180)"
